,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Vilhena,BR,-12.7406,-60.1458,66.92,96,100,3.02,overcast clouds
263,Nuuk,GL,64.1835,-51.7216,19.4,73,75,16.11,broken clouds
264,Cordoba,AR,-31.4135,-64.1811,61.0,94,0,5.75,clear sky
265,Willowmore,ZA,-33.2926,23.4895,78.08,31,89,9.48,overcast clouds
266,Umm Lajj,SA,25.0213,37.2685,80.29,52,0,13.4,clear sky
267,Yate,GB,51.5407,-2.4184,42.01,73,7,3.0,clear sky
268,Moose Factory,CA,51.2585,-80.6094,32.0,93,90,14.97,overcast clouds
269,Sorland,NO,67.667,12.6934,42.8,87,40,12.66,scattered clouds
270,Lesnyye Polyany,RU,55.9667,37.8667,60.8,58,0,11.18,light rain
271,Monkey Hill,KN,17.3167,-62.7167,77.0,78,21,9.22,few clouds
272,San Andres,CO,12.5847,-81.7006,80.6,78,75,14.97,broken clouds
273,Sobolevo,RU,54.4299,31.8996,52.54,80,100,12.26,light rain
274,Chapais,CA,49.7834,-74.8492,32.0,80,75,4.61,broken clouds
275,Suzun,RU,53.7841,82.3116,39.63,99,100,4.07,overcast clouds
276,Ginda,IN,30.6945,78.4932,81.21,11,37,9.42,scattered clouds
277,Ponta Delgada,PT,37.7333,-25.6667,57.2,82,20,5.75,few clouds
278,Luderitz,NA,-26.6481,15.1594,89.87,22,0,18.79,clear sky
279,Kaeo,NZ,-35.1,173.7833,59.0,84,73,3.0,broken clouds
280,Cherskiy,RU,68.75,161.3,6.51,87,75,5.79,broken clouds
281,Vila Do Maio,CV,15.1333,-23.2167,69.8,78,20,19.57,few clouds
282,Bousso,TD,10.4795,16.7117,93.18,14,100,4.34,overcast clouds
283,Alice Springs,AU,-23.7,133.8833,77.0,29,12,12.66,few clouds
284,Walvis Bay,NA,-22.9575,14.5053,90.3,23,0,12.44,clear sky
285,Muros,ES,42.7762,-9.0603,55.0,61,24,7.0,few clouds
286,Santa Marta,CO,11.2408,-74.199,82.99,73,100,10.71,overcast clouds
287,Kralendijk,BQ,12.15,-68.2667,80.6,89,40,11.5,scattered clouds
288,Sioux Lookout,CA,50.1001,-91.917,28.4,86,90,8.05,overcast clouds
289,Qasigiannguit,GL,68.8193,-51.1922,14.0,67,75,8.05,broken clouds
290,Sarangani,PH,5.4033,125.4636,83.61,76,76,18.23,broken clouds
291,Geraldton,AU,-28.7667,114.6,82.4,23,0,14.97,clear sky
292,Guozhen,CN,34.3659,107.359,69.33,22,100,7.99,overcast clouds
293,Nelson Bay,AU,-32.7167,152.15,69.01,68,0,8.05,clear sky
294,Ranfurly,NZ,-45.1333,170.1,45.0,84,6,4.72,clear sky
295,Eyemouth,GB,55.8713,-2.0901,41.0,80,7,1.01,clear sky
296,Mumbwa,ZM,-14.9783,27.0619,76.21,41,46,8.77,scattered clouds
297,Half Moon Bay,US,37.4636,-122.4286,52.0,87,90,6.91,mist
298,New Norfolk,AU,-42.7826,147.0587,46.99,74,9,1.99,clear sky
299,Ancud,CL,-41.8697,-73.8203,43.0,100,90,2.3,mist
300,Dera Bugti,PK,29.0307,69.151,93.42,11,100,14.2,overcast clouds
301,Mercedes,AR,-34.6515,-59.4307,55.99,92,0,1.99,clear sky
302,Tatawin,TN,32.9297,10.4518,64.4,48,40,1.14,scattered clouds
303,Voh,NC,-20.9667,164.7,74.82,93,67,4.7,broken clouds
304,San Jeronimo,PE,-11.9472,-75.2829,48.33,87,94,1.99,overcast clouds
305,Goderich,CA,43.7501,-81.7165,37.4,81,99,4.61,overcast clouds
306,Port Macquarie,AU,-31.4333,152.9167,66.99,81,1,2.51,clear sky
307,Omsukchan,RU,62.5333,155.8,15.67,95,100,5.57,light snow
308,Ankazoabo,MG,-22.2833,44.5167,89.2,39,0,4.21,clear sky
309,Darlowo,PL,54.421,16.4107,41.0,70,100,21.23,light rain
310,Cayenne,GF,4.9333,-52.3333,81.0,94,75,4.61,broken clouds
311,Toyooka,JP,35.5333,134.8333,50.0,53,75,10.36,broken clouds
312,Port Lincoln,AU,-34.7333,135.8667,62.1,70,11,9.31,few clouds
313,Vagur,FO,61.4732,-6.8119,45.16,86,100,21.3,overcast clouds
314,Denham Springs,US,30.4869,-90.9562,64.99,100,90,5.75,overcast clouds
315,Victoria Point,AU,-27.5833,153.3,73.0,69,0,1.01,clear sky
316,Kasongo-Lunda,CD,-6.4667,16.8167,77.29,79,98,3.24,light rain
317,Cedar City,US,37.6775,-113.0619,35.6,75,40,8.05,scattered clouds
318,Fuerte Olimpo,PY,-21.0415,-57.8738,71.98,73,2,4.09,clear sky
319,Nalut,LY,30.3333,10.85,73.98,23,50,22.35,scattered clouds
320,Sawakin,SD,19.1059,37.3321,85.62,40,16,13.11,few clouds
321,Okhotsk,RU,59.3833,143.3,21.6,76,66,4.41,broken clouds
322,Egvekinot,RU,66.3167,-179.1667,-0.35,95,8,4.88,clear sky
323,Tiksi,RU,71.6872,128.8694,9.39,95,24,2.82,few clouds
324,Avera,US,33.194,-82.5271,68.0,72,90,4.61,overcast clouds
325,Wucheng,CN,29.6008,118.175,71.01,83,100,1.5,overcast clouds
326,Hambantota,LK,6.1241,81.1185,89.6,70,40,9.22,scattered clouds
327,San Jose,US,37.3394,-121.895,51.01,76,0,2.26,clear sky
328,Martapura,ID,-3.4167,114.85,82.4,83,40,4.61,scattered clouds
329,Bahia Blanca,AR,-38.7196,-62.2724,62.6,66,0,15.7,clear sky
330,Altar,MX,30.7,-111.8167,64.74,26,100,3.0,overcast clouds
331,Along,IN,28.1667,94.7667,77.59,56,100,2.19,overcast clouds
332,Ulladulla,AU,-35.35,150.4667,68.0,32,0,12.66,clear sky
333,Lodwar,KE,3.1191,35.5973,96.21,25,15,13.76,few clouds
334,Alekseyevsk,RU,57.8406,108.3492,35.91,61,82,8.01,light snow
335,Dalvik,IS,65.9702,-18.5286,44.6,76,75,11.5,drizzle
336,Kavaratti,IN,10.5669,72.642,84.36,66,8,2.53,clear sky
337,Williston,US,48.147,-103.618,28.99,87,100,1.01,overcast clouds
338,Hay River,CA,60.8156,-115.7999,32.0,55,34,3.44,scattered clouds
339,Pisco,PE,-13.7,-76.2167,64.4,82,93,2.3,smoke
340,Karakol,KG,42.4907,78.3936,57.94,37,94,4.16,overcast clouds
341,Ahipara,NZ,-35.1667,173.1667,63.34,77,76,8.55,broken clouds
342,Hualmay,PE,-11.0964,-77.6139,65.44,87,100,6.13,overcast clouds
343,Zhob,PK,31.3411,69.4481,79.93,17,99,20.2,overcast clouds
344,Acapulco,MX,16.8634,-99.8901,76.59,64,99,5.73,overcast clouds
345,Petatlan,MX,17.5167,-101.2667,72.01,55,5,3.85,clear sky
346,Sinnamary,GF,5.3833,-52.95,77.07,89,100,6.11,overcast clouds
347,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.2,86,1,3.44,clear sky
348,Natal,BR,-5.795,-35.2094,75.2,100,40,8.05,scattered clouds
349,Paramonga,PE,-10.6667,-77.8333,66.0,86,100,6.6,overcast clouds
350,San Rafael,AR,-34.6177,-68.3301,63.37,48,0,3.78,clear sky
351,Riyadh,SA,24.6877,46.7219,80.6,17,95,10.36,overcast clouds
352,Lavrentiya,RU,65.5833,-171.0,19.13,93,97,3.6,overcast clouds
353,Northam,GB,51.0333,-4.2167,46.99,70,5,5.01,clear sky
354,Bela,IN,25.9333,81.9833,106.66,5,100,7.96,overcast clouds
355,Maraba,BR,-5.3686,-49.1178,75.2,100,90,3.44,heavy intensity rain
356,Yakuplu,TR,40.9889,28.6758,55.4,67,20,14.97,few clouds
357,Energetik,RU,51.7445,58.7934,62.28,32,3,6.4,clear sky
358,Bantry,IE,51.6833,-9.45,44.6,87,0,6.91,clear sky
359,Matara,LK,5.9485,80.5353,86.81,62,72,7.4,broken clouds
360,Peniche,PT,39.3558,-9.3811,61.0,94,100,7.0,overcast clouds
361,Ayame,CI,5.6083,-3.1563,84.11,72,97,3.71,overcast clouds
362,Tambun,ID,-6.2641,107.0712,82.4,89,40,11.5,light rain
363,Boa Vista,BR,2.8197,-60.6733,78.8,89,75,4.61,light rain
364,Ca Mau,VN,9.1769,105.15,84.69,67,87,6.2,moderate rain
365,Ostrovnoy,RU,68.0531,39.5131,29.84,79,63,16.98,broken clouds
366,Caravelas,BR,-17.7125,-39.2481,76.14,62,100,9.26,overcast clouds
367,Pacifica,US,37.6138,-122.4869,51.8,76,1,6.91,clear sky
368,Narsimhapur,IN,22.95,79.2,98.11,12,99,7.58,overcast clouds
369,Saint-Augustin,CA,51.226,-58.6502,31.46,80,3,4.94,clear sky
370,Oskaloosa,US,41.2964,-92.6444,35.6,93,1,8.05,clear sky
371,Sambava,MG,-14.2667,50.1667,83.26,68,91,9.73,overcast clouds
372,Necochea,AR,-38.5473,-58.7368,55.99,87,0,11.01,clear sky
373,Sechura,PE,-5.5569,-80.8222,69.75,76,90,9.86,overcast clouds
374,Anadyr,RU,64.75,177.4833,8.6,78,0,4.47,clear sky
375,Klaksvik,FO,62.2266,-6.589,44.6,100,75,10.36,broken clouds
376,Pahrump,US,36.2083,-115.9839,57.0,28,1,7.74,clear sky
377,Gat,IL,31.61,34.7642,78.01,43,0,1.99,clear sky
378,Beloha,MG,-25.1667,45.05,89.76,39,0,7.2,clear sky
379,Coquimbo,CL,-29.9533,-71.3436,59.0,82,90,3.44,overcast clouds
380,Plettenberg Bay,ZA,-34.0527,23.3716,68.68,73,76,7.49,broken clouds
381,Boguchany,RU,58.3814,97.4531,38.26,58,100,9.91,overcast clouds
382,Pine Castle,US,28.472,-81.3679,71.6,68,1,5.75,clear sky
383,Rocha,UY,-34.4833,-54.3333,59.5,93,39,6.38,scattered clouds
384,Kahului,US,20.8947,-156.47,68.0,83,1,6.91,clear sky
385,Port Blair,IN,11.6667,92.75,85.26,65,86,3.85,overcast clouds
386,Palauig,PH,15.435,119.9045,83.79,68,48,6.55,light rain
387,Stornoway,GB,58.2093,-6.3865,46.0,100,20,2.3,few clouds
388,Miri,MY,4.4148,114.0089,84.2,74,40,4.61,light rain
389,Carlyle,US,38.6103,-89.3726,42.01,80,38,1.99,scattered clouds
390,Begusarai,IN,25.4167,86.1333,108.18,4,67,15.23,broken clouds
391,Naron,ES,43.5167,-8.1528,55.99,47,0,14.54,clear sky
392,Lorengau,PG,-2.0226,147.2712,80.87,77,50,2.95,scattered clouds
393,Menongue,AO,-14.6585,17.691,76.21,47,39,8.7,scattered clouds
394,Myitkyina,MM,25.3833,97.4,101.97,12,92,4.32,overcast clouds
395,Yerbogachen,RU,61.2767,108.0108,32.32,62,95,11.16,light snow
396,Makarska,HR,43.2969,17.0178,51.8,32,0,8.05,clear sky
397,Ninotsminda,GE,41.2646,43.5916,53.6,30,20,4.61,few clouds
398,Port Hedland,AU,-20.3167,118.5667,93.2,31,8,9.22,clear sky
399,Nioaque,BR,-21.1353,-55.83,72.72,73,78,5.79,broken clouds
400,Kununurra,AU,-15.7667,128.7333,95.0,17,98,6.91,overcast clouds
401,Beringovskiy,RU,63.05,179.3167,2.62,93,56,4.7,broken clouds
402,Rusape,ZW,-18.5278,32.1284,74.21,26,0,9.91,clear sky
403,Tautira,PF,-17.7333,-149.15,80.6,69,75,6.91,broken clouds
404,Murgab,TM,37.4966,61.9714,77.0,29,0,4.61,clear sky
405,Batemans Bay,AU,-35.7167,150.1833,61.0,77,27,3.04,scattered clouds
406,Porosozero,RU,62.7191,32.727,42.42,45,3,2.82,clear sky
407,Soyo,AO,-6.1349,12.3689,77.0,94,75,4.61,broken clouds
408,Aksu,CN,41.1231,80.2644,70.5,17,100,3.04,overcast clouds
409,Severnyy,RU,50.677,36.5532,53.6,66,40,6.71,scattered clouds
410,San-Pedro,CI,4.7485,-6.6363,80.76,83,100,4.0,overcast clouds
411,Nsoko,SZ,-27.0333,31.95,88.29,43,2,0.83,clear sky
412,Lubao,PH,14.9167,120.55,96.8,46,75,16.11,broken clouds
413,Kisangani,CD,0.5167,25.2,84.83,58,100,2.98,overcast clouds
414,Hastings,GB,50.8552,0.5729,46.0,64,22,5.01,few clouds
415,Sao Filipe,CV,14.8961,-24.4956,74.5,64,57,16.8,broken clouds
416,Rio Gallegos,AR,-51.6226,-69.2181,46.4,49,0,17.27,clear sky
417,Nikolsk,RU,53.7189,46.0712,65.39,39,99,5.41,overcast clouds
418,Najran,SA,17.4924,44.1277,89.6,25,82,11.5,dust
419,Berlevag,NO,70.8578,29.0864,33.8,60,20,8.05,few clouds
420,Margate,GB,51.3813,1.3862,45.0,66,31,4.0,scattered clouds
421,Ozernovskiy,RU,51.5,156.5167,38.03,93,100,20.71,moderate rain
422,Yar-Sale,RU,66.8333,70.8333,25.52,88,86,14.63,overcast clouds
423,Sulangan,PH,11.1373,123.7228,83.64,73,100,10.76,heavy intensity rain
424,Sawtell,AU,-30.3833,153.1,69.8,68,0,4.61,clear sky
425,Troitsko-Pechorsk,RU,62.7084,56.1964,41.68,52,100,11.16,overcast clouds
426,Saldanha,ZA,-33.0117,17.9442,80.6,36,100,11.5,overcast clouds
427,Vieux-Habitants,GP,16.0589,-61.7659,77.0,88,90,3.44,overcast clouds
428,Hofn,IS,64.2539,-15.2082,44.6,93,90,13.8,moderate rain
429,Barinas,VE,8.6226,-70.2075,72.1,94,100,0.78,overcast clouds
430,Saint George,US,37.1041,-113.5841,57.99,41,1,18.41,clear sky
431,Mandera,KE,3.9366,41.867,91.4,43,75,10.69,broken clouds
432,Boden,SE,65.8252,21.6886,42.8,49,0,5.75,clear sky
433,Yarim,YE,14.298,44.3779,71.8,25,9,2.15,clear sky
434,Buraydah,SA,26.326,43.975,77.0,29,0,11.5,clear sky
435,Vidalia,US,32.2177,-82.4135,66.2,63,1,3.44,clear sky
436,Aguilas,ES,37.4063,-1.5829,55.0,95,100,16.35,light rain
437,Carutapera,BR,-1.195,-46.02,76.66,90,100,5.99,overcast clouds
438,North Bend,US,43.4065,-124.2243,45.0,74,2,3.87,clear sky
439,Bilma,NE,18.6853,12.9164,98.22,4,6,10.49,clear sky
440,Mogadishu,SO,2.0371,45.3438,87.8,55,40,9.22,scattered clouds
441,Casper,US,42.8666,-106.3131,28.0,86,90,14.97,light snow
442,Basco,PH,20.4487,121.9702,78.71,75,74,8.81,broken clouds
443,Inuvik,CA,68.3499,-133.7218,21.2,79,100,3.44,overcast clouds
444,Salinopolis,BR,-0.6136,-47.3561,79.02,85,100,8.21,overcast clouds
445,Sangar,RU,63.9242,127.4739,26.1,89,100,3.51,overcast clouds
446,Valdivia,CL,-39.8142,-73.2459,53.6,100,90,3.44,heavy intensity drizzle
447,Sosnovka,RU,56.255,51.2842,64.0,53,2,7.34,clear sky
448,Mayumba,GA,-3.432,10.6554,83.84,74,99,2.46,light rain
449,Podosinovets,RU,60.2776,47.0659,40.35,86,100,4.88,overcast clouds
450,Esmeralda,CU,21.8525,-78.1169,64.4,94,0,8.05,clear sky
451,Sitka,US,57.0531,-135.33,39.2,100,90,4.18,overcast clouds
452,Kirakira,SB,-10.4544,161.9205,80.04,84,92,4.72,overcast clouds
453,Kholm-Zhirkovskiy,RU,55.5189,33.4731,48.74,89,100,12.53,light rain
454,Graz,AT,47.0667,15.45,45.0,45,20,3.44,few clouds
455,Tubuala,PA,9.5167,-79.0333,77.0,94,40,2.3,scattered clouds
456,Satun,TH,6.8333,100.0,87.8,100,75,5.75,light rain
457,Semey,KZ,50.4111,80.2275,62.6,25,0,6.71,clear sky
458,Preobrazheniye,RU,42.9019,133.9064,42.67,74,89,4.68,overcast clouds
459,Aketi,CD,2.7388,23.7833,91.83,44,38,1.7,scattered clouds
460,Tomatlan,MX,19.9333,-105.25,64.62,80,0,1.83,clear sky
461,Codrington,AU,-38.2667,141.9667,55.89,78,34,14.79,scattered clouds
462,Irbeyskoye,RU,55.6428,95.4522,35.82,81,58,7.7,broken clouds
463,Mayo,US,38.8876,-76.5119,54.0,100,90,3.38,overcast clouds
464,Malatya,TR,38.5,38.0,55.4,54,75,3.44,broken clouds
465,Vila Velha,BR,-20.3297,-40.2925,71.6,83,40,10.36,scattered clouds
466,Lakatoro,VU,-16.0999,167.4164,81.57,80,29,8.03,scattered clouds
467,Yangjiang,CN,21.85,111.9667,80.06,73,89,11.34,overcast clouds
468,Talaya,RU,61.3833,152.75,10.78,90,93,0.18,overcast clouds
469,Palmer,US,42.1584,-72.3287,48.2,76,90,3.44,overcast clouds
470,Zyryanka,RU,65.75,150.85,12.56,86,100,1.74,overcast clouds
471,Harper,LR,4.375,-7.7169,81.5,80,100,3.44,moderate rain
472,Kouvola,FI,60.8667,26.7,42.8,39,0,11.5,clear sky
473,Kiruna,SE,67.8557,20.2251,39.2,65,0,16.11,clear sky
474,Chilca,PE,-12.5211,-76.7372,66.2,82,40,4.61,scattered clouds
475,Zhanaozen,KZ,43.3,52.8,70.25,25,73,10.49,broken clouds
476,Evensk,RU,61.95,159.2333,20.14,94,100,13.65,snow
477,Mbandaka,CD,0.0487,18.2603,86.27,56,31,3.13,scattered clouds
478,Srivardhan,IN,18.0333,73.0167,88.88,53,0,11.3,clear sky
479,Kandrian,PG,-6.2167,149.55,77.05,88,88,3.98,light rain
480,Manzhouli,CN,49.6,117.4333,37.47,40,100,16.6,light rain
481,Garowe,SO,8.4054,48.4845,89.46,35,58,6.78,broken clouds
482,Asau,RO,46.4333,26.4,46.99,40,90,5.82,overcast clouds
483,Joshimath,IN,30.5667,79.5667,68.79,40,88,7.63,overcast clouds
484,Lithakia,GR,37.7167,20.8333,60.8,48,20,11.5,few clouds
485,Turan,VN,16.0678,108.2208,84.2,74,20,11.5,few clouds
486,Tynda,RU,55.1667,124.7167,32.02,65,76,6.98,light snow
487,Xining,CN,36.6167,101.7667,56.53,12,73,17.29,broken clouds
488,Qarchi Gak,AF,37.04,66.7889,82.4,19,40,3.44,scattered clouds
489,Mount Pleasant,US,32.7941,-79.8626,71.6,64,90,6.91,overcast clouds
490,Fort Payne,US,34.4442,-85.7197,55.4,88,90,5.75,overcast clouds
491,Fort Nelson,CA,58.8053,-122.7002,35.6,69,1,3.44,clear sky
492,Sabha,LY,27.0377,14.4283,82.11,18,18,13.2,few clouds
493,Shadrinsk,RU,56.0852,63.6335,66.38,51,12,10.25,few clouds
494,Skibbereen,IE,51.55,-9.2667,42.8,100,40,8.05,mist
495,Inverell,AU,-29.7833,151.1167,66.0,54,43,1.01,scattered clouds
496,Wageningen,NL,51.9667,5.6667,44.01,87,90,6.91,overcast clouds
497,Pacific Grove,US,36.6177,-121.9166,50.0,81,90,3.44,overcast clouds
498,Yaan,NG,7.3833,8.5667,86.31,49,100,1.3,overcast clouds
499,Jacareacanga,BR,-6.2222,-57.7528,72.34,99,100,0.13,overcast clouds
500,Nouakchott,MR,18.0858,-15.9785,69.8,64,83,19.57,broken clouds
501,Teya,RU,60.3778,92.6267,34.39,84,100,15.64,overcast clouds
502,Sur,OM,22.5667,59.5289,90.3,42,3,8.08,clear sky
503,Heiligenhafen,DE,54.3667,10.9833,48.0,70,0,4.61,clear sky
504,Makakilo City,US,21.3469,-158.0858,73.4,68,20,5.75,few clouds
505,Bereda,ES,43.2686,-7.5406,53.01,69,7,13.0,clear sky
506,Pryazha,RU,61.6926,33.6216,42.8,42,0,6.71,clear sky
507,Nemuro,JP,43.3236,145.575,41.0,52,75,6.91,broken clouds
508,Worland,US,44.0169,-107.9554,28.0,93,90,3.44,light snow
509,Meulaboh,ID,4.1363,96.1285,85.62,64,79,7.65,broken clouds
510,Labrea,BR,-7.2586,-64.7981,72.34,99,100,1.72,overcast clouds
511,Vardo,NO,70.3705,31.1107,30.2,80,0,5.75,clear sky
512,Barentu,ER,15.1139,37.5928,92.84,20,2,3.09,clear sky
513,Narsipatnam,IN,17.6667,82.6167,87.8,51,75,3.44,haze
514,Ekhabi,RU,53.5102,142.9671,24.55,81,96,12.12,overcast clouds
515,Eureka,US,40.8021,-124.1637,39.99,100,1,3.44,clear sky
516,Puerto Armuelles,PA,8.2833,-82.8667,64.99,98,100,3.89,overcast clouds
517,Zaoyang,CN,32.1272,112.7542,72.18,54,89,4.9,overcast clouds
518,Bambous Virieux,MU,-20.3428,57.7575,84.2,70,75,11.5,light rain
519,Coahuayana,MX,18.7333,-103.6833,68.18,68,1,2.53,clear sky
520,The Pas,CA,53.8251,-101.2541,28.4,64,90,2.3,overcast clouds
521,Yatou,CN,37.15,122.3833,50.61,58,90,19.55,overcast clouds
522,Haverfordwest,GB,51.8017,-4.9691,46.99,65,8,7.0,clear sky
523,Hailar,CN,49.2,119.7,31.12,93,100,20.24,snow
524,Tenamaxtlan,MX,20.2167,-104.1667,60.01,46,0,5.01,clear sky
525,Santa Maria,BR,-29.6842,-53.8069,64.4,94,75,3.44,light rain
